date,cause,number
6/1/2020,Mine-Related Incident,1
10/1/2020,Shelling,1
11/1/2020,Explosive Remnants of War,1
12/1/2020,Explosive Remnants of War,1
13/1/2020,Explosive Remnants of War,1
17/1/2020,Mine-Related Incident,1
18/1/2020,Mine-Related Incident,1
21/1/2020,Natural causes,1
25/1/2020,Mine-Related Incident,1
26/1/2020,Shelling,1
9/2/2020,Explosive Remnants of War,1
15/2/2020,Small Arms and Light Weapons ,1
18/2/2020,Shelling,1
27/2/2020,Mine-Related Incident,1
27/2/2020,Shelling,1
27/2/2020,Explosive Remnants of War,1
28/2/2020,Small Arms and Light Weapons ,1
1/3/2020,Mine-Related Incident,1
1/3/2020,Mine-Related Incident,1
2/3/2020,Shelling,1
4/3/2020,Shelling,1
4/3/2020,Shelling,1
4/3/2020,Shelling,1
9/3/2020,Small Arms and Light Weapons ,1
11/3/2020,Natural causes,1
14/3/2020,Shelling,1
14/3/2020,Shelling,1
14/3/2020,Shelling,1
14/3/2020,Shelling,1
20/3/2020,Shelling,1
21/3/2020,Shelling,1
21/3/2020,Small Arms and Light Weapons ,1
27/3/2020,Small Arms and Light Weapons ,1
28/3/2020,Small Arms and Light Weapons ,1
4/4/2020,Shelling,1
5/4/2020,Mine-Related Incident,1
7/4/2020,Shelling,1
9/4/2020,Shelling,1
9/4/2020,Shelling,1
10/4/2020,Shelling,1
19/4/2020,Explosive Remnants of War,1
1/5/2020,Small Arms and Light Weapons ,1
2/5/2020,Explosive Remnants of War,1
4/5/2020,Shelling,1
4/5/2020,Shelling,1
4/5/2020,Shelling,1
7/5/2020,Shelling,1
7/5/2020,Shelling,1
7/5/2020,Shelling,1
7/5/2020,Shelling,1
11/5/2020,Shelling,1
12/5/2020,Shelling,1
14/5/2020,Mine-Related Incident,1
19/5/2020,Small Arms and Light Weapons ,1
4/6/2020,Shelling,1
11/6/2020,Natural causes,1
15/6/2020,Shelling,1
19/6/2020,Shelling,1
19/6/2020,Shelling,1
19/6/2020,Shelling,1
19/6/2020,Shelling,1
21/6/2020,Shelling,1
22/6/2020,Shelling,1
3/7/2020,Shelling,1
5/7/2020,Explosive Remnants of War,1
14/7/2020,Shelling,1
14/7/2020,Shelling,1
14/7/2020,Natural causes,1
16/7/2020,Shelling,1
16/7/2020,Shelling,1
27/7/2020,Shelling,1
7/8/2020,Explosive Remnants of War,1
10/8/2020,Mine-Related Incident,1
21/8/2020,Explosive Remnants of War,1
30/8/2020,Explosive Remnants of War,1
1/9/2020,Mine-Related Incident,1
2/9/2020,Explosive Remnants of War,1
16/9/2020,Explosive Remnants of War,1
17/9/2020,Mine-Related Incident,1
22/9/2020,Explosive Remnants of War,1
22/9/2020,Explosive Remnants of War,1
22/9/2020,Explosive Remnants of War,1
28/9/2020,Mine-Related Incident,1
28/9/2020,Mine-Related Incident,1
30/9/2020,Explosive Remnants of War,1
4/10/2020,Mine-Related Incident,1
6/10/2020,Explosive Remnants of War,1
6/10/2020,Explosive Remnants of War,1
9/10/2020,Mine-Related Incident,1
9/10/2020,Mine-Related Incident,1
9/10/2020,Mine-Related Incident,1
17/10/2020,Mine-Related Incident,1
19/10/2020,Explosive Remnants of War,1
19/10/2020,Explosive Remnants of War,1
29/10/2020,Mine-Related Incident,1
30/10/2020,Explosive Remnants of War,1
30/10/2020,Explosive Remnants of War,1
30/10/2020,Explosive Remnants of War,1
10/11/2020,Explosive Remnants of War,1
10/11/2020,Explosive Remnants of War,1
12/11/2020,Shelling,1
12/11/2020,Shelling,1
20/12/2020,Mine-Related Incident,1
3/1/2021,Explosive Remnants of War,1
30/1/2021,Small Arms and Light Weapons ,1
2/2/2021,Shelling,1
3/2/2021,Mine-Related Incident,1
8/2/2021,Small Arms and Light Weapons ,1
8/2/2021,Explosive Remnants of War,1
15/2/2021,Sniper Fire,1
15/2/2021,Explosive Remnants of War,1
22/2/2021,Shelling,1
23/2/2021,Mine-Related Incident,1
1/3/2021,Explosive Remnants of War,1
1/3/2021,Explosive Remnants of War,1
1/3/2021,Explosive Remnants of War,1
1/3/2021,Explosive Remnants of War,1
21/3/2021,Explosive Remnants of War,1
22/3/2021,Small Arms and Light Weapons ,1
2/4/2021,Explosive Remnants of War,1
2/4/2021,Shelling,1
3/4/2021,Mine-Related Incident,1
3/4/2021,Mine-Related Incident,1
4/4/2021,Mine-Related Incident,1
6/4/2021,Explosive Remnants of War,1
6/4/2021,Mine-Related Incident,1
6/4/2021,Mine-Related Incident,1
7/4/2021,Mine-Related Incident,1
14/4/2021,Explosive Remnants of War,1
14/4/2021,Shelling,1
15/4/2021,Mine-Related Incident,1
15/4/2021,Explosive Remnants of War,1
16/4/2021,Explosive Remnants of War,1
18/4/2021,Mine-Related Incident,1
18/4/2021,Small Arms and Light Weapons ,1
22/4/2021,Shelling,1
29/4/2021,Shelling,1
1/5/2021,Mine-Related Incident,1
1/5/2021,Mine-Related Incident,1
2/5/2021,Explosive Remnants of War,1
8/5/2021,Shelling,1
19/5/2021,Explosive Remnants of War,1
22/5/2021,Mine-Related Incident,1
22/5/2021,Mine-Related Incident,1
22/5/2021,Mine-Related Incident,1
24/5/2021,Small Arms and Light Weapons ,1
26/5/2021,Small Arms and Light Weapons ,1
31/5/2021,Explosive Remnants of War,1
19/6/2021,Small Arms and Light Weapons ,1
6/6/2021,Mine-Related Incident,1
19/6/2021,Small Arms and Light Weapons ,1
27/6/2021,Shelling,1
7/7/2021,Shelling,1
17/7/2021,Explosive Remnants of War,4
23/7/2021,Small Arms and Light Weapons ,1
1/8/2021,Small Arms and Light Weapons ,1
2/8/2021,Small Arms and Light Weapons ,2
5/8/2021,Shelling,1
9/8/2021,Small Arms and Light Weapons ,1
11/8/2021,Shelling,1
17/8/2021,Explosive Remnants of War,1
17/8/2021,Shelling,1
26/8/2021,Small Arms and Light Weapons ,1
28/8/2021,Shelling,2
29/8/2021,Small Arms and Light Weapons ,1
7/9/2021,Shelling,1
8/9/2021,Shelling,2
11/9/2021,Shelling,2
12/9/2021,Explosive Remnants of War,1
16/9/2021,Explosive Remnants of War,1
17/9/2021,Shelling,4
26/9/2021,Explosive Remnants of War,1
9/10/2021,Small Arms and Light Weapons ,1
21/10/2021,Shelling,2
29/10/2021,Small Arms and Light Weapons ,1
30/10/2021,Shelling,3
19/11/2021,Shelling,1
29/11/2021,Shelling,1
30/11/2021,Small Arms and Light Weapons ,1
1/12/2021,Mine-Related Incident,1
13/12/2021,Explosive Remnants of War,1
23/12/2021,Shelling,1
29/1/2022,Small Arms and Light Weapons ,1
17/2/2022,Shelling,4
20/2/2022,Shelling,1
21/2/2022,Shelling,1
22/2/2022,Shelling,1
24/2/2022,Shelling,28
25/2/2022,Shelling,17
26/2/2022,Shelling,41
27/2/2022,Shelling,11
28/2/2022,Shelling,34
