date,cause,number
1/1/2020,Other,1
5/1/2020,Other,1
5/1/2020,Mine-Related Incident,1
5/1/2020,Sniper Fire,1
8/1/2020,Other,1
9/1/2020,Small Arms and Light Weapons ,1
9/1/2020,Other,1
13/1/2020,Sniper Fire,1
13/1/2020,Small Arms and Light Weapons ,1
15/1/2020,Sniper Fire,1
16/1/2020,Sniper Fire,1
18/1/2020,Small Arms and Light Weapons ,1
19/1/2020,Sniper Fire,1
20/1/2020,Sniper Fire,1
20/1/2020,Mine-Related Incident,1
22/1/2020,Sniper Fire,1
22/1/2020,Sniper Fire,1
26/1/2020,Shelling,1
26/1/2020,Mine-Related Incident,1
29/1/2020,Shelling,1
31/1/2020,Shelling,1
31/1/2020,Shelling,1
1/2/2020,Shelling,1
7/2/2020,Shelling,1
7/2/2020,Shelling,1
7/2/2020,Shelling,1
7/2/2020,Shelling,1
18/2/2020,Sniper Fire,1
18/2/2020,Shelling,1
19/2/2020,Other,1
20/2/2020,Small Arms and Light Weapons ,1
22/2/2020,Small Arms and Light Weapons ,1
24/2/2020,Other,1
26/2/2020,Sniper Fire,1
26/2/2020,Mine-Related Incident,1
27/2/2020,Sniper Fire,1
1/3/2020,Shelling,1
1/3/2020,Small Arms and Light Weapons ,1
3/3/2020,Shelling,1
4/3/2020,Other,1
4/3/2020,Sniper Fire,1
4/3/2020,Shelling,1
5/3/2020,Mine-Related Incident,1
6/3/2020,Mine-Related Incident,1
8/3/2020,Shelling,1
10/3/2020,Shelling,1
10/3/2020,Shelling,1
10/3/2020,Sniper Fire,1
15/3/2020,Shelling,1
16/3/2020,Other,1
19/3/2020,Sniper Fire,1
25/3/2020,Mine-Related Incident,1
29/3/2020,Other,1
30/3/2020,Mine-Related Incident,1
30/3/2020,Sniper Fire,1
31/3/2020,Small Arms and Light Weapons ,1
31/3/2020,Shelling,1
3/4/2020,Other,1
4/4/2020,Shelling,1
4/4/2020,Shelling,1
9/4/2020,Other,1
11/4/2020,Sniper Fire,1
12/4/2020,Shelling,1
20/4/2020,Shelling,1
22/4/2020,Small Arms and Light Weapons ,1
25/4/2020,Sniper Fire,1
26/4/2020,Sniper Fire,1
28/4/2020,Shelling,1
1/5/2020,Shelling,1
1/5/2020,Shelling,1
7/5/2020,Other,1
7/5/2020,Shelling,1
9/5/2020,Small Arms and Light Weapons ,1
13/5/2020,Sniper Fire,1
16/5/2020,Shelling,1
19/5/2020,Shelling,1
20/5/2020,Mine-Related Incident,1
21/5/2020,Small Arms and Light Weapons ,1
21/5/2020,Shelling,1
23/5/2020,Shelling,1
24/5/2020,Other,1
25/5/2020,Other,1
26/5/2020,Sniper Fire,1
28/5/2020,Other,1
2/6/2020,Sniper Fire,1
2/6/2020,Other,1
5/6/2020,Sniper Fire,1
6/6/2020,Other,1
10/6/2020,Shelling,1
11/6/2020,Shelling,1
12/6/2020,Other,1
12/6/2020,Shelling,1
12/6/2020,Shelling,1
12/6/2020,Shelling,1
12/6/2020,Shelling,1
13/6/2020,Shelling,1
13/6/2020,Shelling,1
17/6/2020,Small Arms and Light Weapons ,1
18/6/2020,Sniper Fire,1
