date,group,location,number
1/1/2020,Armed Groups Killed,Yasynuvata,1
5/1/2020,Ukrainian Military Killed,Hirske,1
5/1/2020,Ukrainian Military Killed,Hirske,1
9/1/2020,Ukrainian Military Killed,Mariinka,1
11/1/2020,Civilian Killed,Velyka Novosilka,1
13/1/2020,Armed Groups Killed,Horlivka,1
13/1/2020,Armed Groups Killed,Kadiivka,1
15/1/2020,Ukrainian Military Killed,Avdiivka,1
16/1/2020,Ukrainian Military Killed,Popasna,1
18/1/2020,Ukrainian Military Killed,Popasna,1
19/1/2020,Ukrainian Military Killed,Hirske,1
20/1/2020,Ukrainian Military Killed,Avdiivka,1
22/1/2020,Armed Groups Killed,Svitlodarsk,1
22/1/2020,Ukrainian Military Killed,Sartana,1
26/1/2020,Ukrainian Military Killed,Mariinka,1
26/1/2020,Ukrainian Military Killed,Toretsk,1
29/1/2020,Armed Groups Killed,Kadiivka,1
31/1/2020,Armed Groups Killed,Dokuchayivsk,1
31/1/2020,Armed Groups Killed,Dokuchayivsk,1
1/2/2020,Ukrainian Military Killed,Hirske,1
7/2/2020,Armed Groups Killed,Hirske,1
7/2/2020,Armed Groups Killed,Hirske,1
7/2/2020,Armed Groups Killed,Hirske,1
7/2/2020,Armed Groups Killed,Hirske,1
18/2/2020,Ukrainian Military Killed,Hirske,1
18/2/2020,Armed Groups Killed,Kadiivka,1
20/2/2020,Ukrainian Military Killed,Svitlodarsk,1
22/2/2020,Armed Groups Killed,Hirske,1
26/2/2020,Ukrainian Military Killed,Svitlodarsk,1
27/2/2020,Ukrainian Military Killed,Hirske,1
27/2/2020,Civilian Killed,Luhansk,1
1/3/2020,Ukrainian Military Killed,Nyzhnioteple,1
1/3/2020,Ukrainian Military Killed,Hirske,1
3/3/2020,Ukrainian Military Killed,Svitlodarsk,1
4/3/2020,Armed Groups Killed,Kadiivka,1
4/3/2020,Ukrainian Military Killed,Hirske,1
5/3/2020,Ukrainian Military Killed,Ocheretyne,1
6/3/2020,Ukrainian Military Killed,Hirske,1
8/3/2020,Ukrainian Military Killed,Avdiivka,1
10/3/2020,Ukrainian Military Killed,Ocheretyne,1
10/3/2020,Ukrainian Military Killed,Ocheretyne,1
10/3/2020,Ukrainian Military Killed,Ocheretyne,1
14/3/2020,Civilian Killed,Dokuchayivsk,1
15/3/2020,Armed Groups Killed,Novoazovsk,1
16/3/2020,Armed Groups Killed,Horlivka,1
19/3/2020,Ukrainian Military Killed,Popasna,1
28/3/2020,Civilian Killed,Donetsk,1
29/3/2020,Armed Groups Killed,Svitlodarsk,1
30/3/2020,Ukrainian Military Killed,Ocheretyne,1
31/3/2020,Ukrainian Military Killed,Sartana,1
31/3/2020,Armed Groups Killed,Donetsk,1
4/4/2020,Armed Groups Killed,Kadiivka,1
4/4/2020,Armed Groups Killed,Kadiivka,1
9/4/2020,Civilian Killed,Horlivka,1
9/4/2020,Armed Groups Killed,Sartana,1
11/4/2020,Armed Groups Killed,Horlivka,1
12/4/2020,Ukrainian Military Killed,Hirske,1
19/4/2020,Civilian Killed,Nikolske,1
20/4/2020,Ukrainian Military Killed,Mariinka,1
22/4/2020,Armed Groups Killed,Debaltseve,1
25/4/2020,Armed Groups Killed,Yasynuvata,1
26/4/2020,Armed Groups Killed,Kadiivka,1
28/4/2020,Ukrainian Military Killed,Hirske,1
1/5/2020,Civilian Killed,Yasynuvata,1
1/5/2020,Armed Groups Killed,Kadiivka,1
1/5/2020,Armed Groups Killed,Kadiivka,1
7/5/2020,Armed Groups Killed,Novoazovsk,1
9/5/2020,Armed Groups Killed,Horlivka,1
13/5/2020,Ukrainian Military Killed,Hirske,1
16/5/2020,Armed Groups Killed,Kadiivka,1
19/5/2020,Armed Groups Killed,Kadiivka,1
20/5/2020,Ukrainian Military Killed,Shchastia,1
21/5/2020,Armed Groups Killed,Donetsk,1
21/5/2020,Ukrainian Military Killed,Hirske,1
23/5/2020,Armed Groups Killed,Yasynuvata,1
24/5/2020,Armed Groups Killed,Donetsk,1
26/5/2020,Ukrainian Military Killed,Mariinka,1
28/5/2020,Armed Groups Killed,Hirske,1
2/6/2020,Armed Groups Killed,Avdiivka,1
5/6/2020,Armed Groups Killed,Donetsk,1
10/6/2020,Armed Groups Killed,Svitlodarsk,1
11/6/2020,Armed Groups Killed,Svitlodarsk,1
12/6/2020,Armed Groups Killed,Svitlodarsk,1
12/6/2020,Armed Groups Killed,Svitlodarsk,1
12/6/2020,Armed Groups Killed,Debaltseve,1
12/6/2020,Armed Groups Killed,Debaltseve,1
12/6/2020,Armed Groups Killed,Donetsk,1
13/6/2020,Armed Groups Killed,Debaltseve,1
13/6/2020,Ukrainian Military Killed,Popasna,1
17/6/2020,Ukrainian Military Killed,Toretsk,1
18/6/2020,Ukrainian Military Killed,Avdiivka,1
19/6/2020,Armed Groups Killed,Horlivka,1
19/6/2020,Civilian Killed,Hirske,1
20/6/2020,Ukrainian Military Killed,Toretsk,1
22/6/2020,Civilian Killed,Donetsk,1
26/6/2020,Armed Groups Killed,Avdiivka,1
26/6/2020,Armed Groups Killed,Avdiivka,1
3/7/2020,Civilian Killed,Svitlodarsk,1
5/7/2020,Civilian Killed,Makiivka,1
8/7/2020,Ukrainian Military Killed,Popasna,1
10/7/2020,Armed Groups Killed,Svitlodarsk,1
